user_id,song_index,spotify_id,Arousal,Valence,GEMS_Wonder,GEMS_Transcendence,GEMS_Tenderness,GEMS_Nostalgia,GEMS_Peacefulness,GEMS_Power,GEMS_Joyful Activation,GEMS_Tension,GEMS_Sadness
6,13,0NhodPAXI2erfY7rdLr3di,0.63,0.65,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0
6,14,4czNORk5MjW5WOn98bki32,0.67,0.66,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
6,15,7IsXXgpowAB48crGjV1oGb,0.52,0.55,0.0,0.25,0.5,0.25,0.5,0.0,0.25,0.0,0.0
6,16,0HEmnAUT8PHznIAAmVXqFJ,0.8,0.79,0.25,0.0,0.25,0.0,0.0,0.75,0.5,0.0,0.0
6,17,7cFQFr1VpkSp3BTIn7X719,0.66,0.65,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.0
6,18,5JVlu41jJTVVD8HnkcslNZ,0.37,0.48,0.0,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.0
6,19,62AuGbAkt8Ox2IrFFb8GKV,0.48,0.47,0.0,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.25
7,0,5Pj5zrq2nbKcAekH1AxbrO,0.2,0.7,0.0,0.25,0.75,0.75,0.75,0.0,0.75,0.0,0.0
7,1,1qjrYozGqc7upUgfN776lZ,0.68,0.59,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0
7,2,5lkpeJwmQKgY3bX2zChjxX,0.65,0.16,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75
7,3,42CX3VhPsCG75BFp07r9Vj,0.23,0.61,0.0,0.0,1.0,0.5,1.0,0.0,0.75,0.0,0.0
7,4,0aWMVrwxPNYkKmFthzmpRi,0.12,0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.0
7,5,0Qh38w01QRXK6KHIv0e3hb,0.84,0.64,0.25,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
7,6,4sFtp3pDTJnOZfZuhY20vr,0.91,0.92,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,7,6FMIVQPZg9cmMY8hPxAacD,0.92,0.93,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,8,4bVuIlGQBMWS7vIhcx8Ae4,0.85,0.18,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.75
7,9,6O5TrlFWTYvznd9fMC0VvU,0.78,0.12,0.75,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.75
7,10,4KfSdst7rW39C0sfhArdrz,0.94,0.93,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,11,6qn9YLKt13AGvpq9jfO8py,0.88,0.75,0.75,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
7,12,77oU2rjC5XbjQfNe3bD6so,0.73,0.1,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
7,13,4BTsEp2tjLdQZcLiI2OT4E,0.94,0.95,1.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,14,5EOoMWIB9iK4ZpcSex9Ec7,0.87,0.33,0.25,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
7,15,0Q3GpBYKy5Mx97TNBJVibl,0.08,0.08,0.0,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.75
7,16,3RkQ3UwOyPqpIiIvGVewuU,0.24,0.35,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25
7,17,0ofHAoxe9vBkTCp2UQIavz,0.57,0.17,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
7,18,6yLkOiVYKaBw4DdHbH9r4n,0.57,0.74,0.75,1.0,1.0,0.25,1.0,0.0,1.0,0.0,0.0
7,19,7xQiq1lCtwkJdI3zni9BZp,0.24,0.25,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0
8,0,4eHbdreAnSOrDDsFfc4Fpm,0.77,0.25,1.0,0.75,0.75,0.75,0.0,0.75,0.0,0.5,0.75
8,1,28UMiBhn383n9S7GL4tsxD,0.73,0.17,0.75,0.0,0.25,0.75,0.0,0.5,0.0,0.0,0.75
8,2,5mCPDVBb16L4XQwDdbRUpz,0.27,0.28,0.0,0.0,0.5,0.75,0.75,0.0,0.0,0.0,0.25
8,3,5ihS6UUlyQAfmp48eSkxuQ,0.5,0.24,0.25,0.0,1.0,0.75,0.5,0.0,0.0,0.0,0.5
8,4,2OgVsp77En2nju8pnCieVU,0.59,0.35,0.25,0.0,0.0,0.75,0.25,0.25,0.0,0.0,0.75
8,5,4Gmkqn3V7IMTkOmmiX7cbb,0.71,0.17,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5
8,6,3ZdJffjzJWFimSQyxgGIxN,0.7,0.72,0.75,0.0,0.75,0.0,0.0,0.75,0.5,0.0,0.0
8,7,1pTw2cNrp9L3esxLAvWnN2,0.69,0.63,0.75,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0
8,8,1daDRI9ahBonbWD8YcxOIB,0.68,0.28,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.75
8,9,4lnnde7PnrXR3pUzQKBe6X,0.69,0.27,0.25,0.0,0.0,0.5,0.0,0.75,0.0,0.25,0.0
8,10,2xar08Fq5xra2KKZs5Bw9j,0.26,0.7,0.0,0.0,0.25,0.75,0.0,0.75,0.75,0.5,0.0
8,11,2HRbnflWz1K17PhfdxH6w2,0.63,0.82,0.0,0.0,0.25,0.0,0.0,0.75,1.0,0.0,0.0
8,12,7LD74EByP1gBD2FynoIGSL,0.36,0.38,0.0,0.0,0.25,0.75,0.5,0.0,0.5,0.0,0.0
8,13,1db0gbTSKdRQum8VlbNkiO,0.72,0.32,0.25,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.0
8,14,7HW5WIw7ZgZORCzUxv5gW5,0.58,0.74,0.0,0.0,0.25,0.5,0.0,0.25,0.5,0.5,0.0
8,15,7wnm2J7SGOMLv7oycQZzDc,0.67,0.3,0.25,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0
8,16,1JSTJqkT5qHq8MDJnJbRE1,0.75,0.24,0.25,0.0,0.75,0.75,0.0,0.25,0.0,0.0,0.25
8,17,4EI8VuxUuIHKfafU72emqz,0.33,0.33,0.25,0.0,0.5,0.25,0.0,0.25,0.25,0.0,0.0
8,18,4tHqQMWSqmL6YjXwsqthDI,0.18,0.19,0.75,1.0,0.25,0.0,1.0,0.5,0.25,0.0,0.0
8,19,76TZCvJ8GitQ2FA1q5dKu0,0.27,0.27,0.0,0.5,1.0,0.75,0.75,0.0,0.0,0.0,0.0
9,0,0aWMVrwxPNYkKmFthzmpRi,0.26,0.88,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
9,1,7rbECVPkY5UODxoOUVKZnA,0.6,0.65,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0
